id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
116897457,2022-05-13,research,44.8439666667,-93.2326666667,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Minnesota Valley National Wildlife Refuge, Bloomington, MN, US",agkilian,2,https://www.inaturalist.org/observations/116897457
116900395,2022-05-13,research,45.188914286,-93.6405814017,28378,Thamnophis radix,Plains Garter Snake,Reptilia,species,"Rogers, MN, US",lanetheadventurer,3,https://www.inaturalist.org/observations/116900395
116900867,2022-05-13,research,44.9418716667,-93.2556933333,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Powderhorn Park, Minneapolis, MN 55407, USA",liren,3,https://www.inaturalist.org/observations/116900867
116901169,2022-05-13,research,45.1889829827,-93.5663452133,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Red Fox Rd, Rogers, MN, US",lanetheadventurer,3,https://www.inaturalist.org/observations/116901169
116909627,2022-05-13,research,45.62536,-94.8151819722,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Grove Township, MN 56352, USA",adludwig,2,https://www.inaturalist.org/observations/116909627
116909711,2022-05-13,research,45.556446,-95.493699,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Barsness Township, MN, USA",adludwig,2,https://www.inaturalist.org/observations/116909711
116920254,2022-05-13,research,44.4234498272,-93.3533199797,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Circle Lake Trail, Faribault, MN, US",gonodactylus,2,https://www.inaturalist.org/observations/116920254
116920322,2022-05-13,research,43.8760829055,-92.2619249767,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Richard J. Dorer Memorial Hardwood State Forest, Chatfield, MN, US",gonodactylus,1,https://www.inaturalist.org/observations/116920322
116921103,2022-05-13,research,44.84745,-93.228425,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Minnesota Valley National Wildlife Refuge, Bloomington, MN, US",ehicks1054,2,https://www.inaturalist.org/observations/116921103
116930967,2022-05-12,research,44.7688533333,-92.9338083333,108348,Pantherophis ramspotti,Western Foxsnake,Reptilia,species,"Hastings, MN, US",suemerchant,4,https://www.inaturalist.org/observations/116930967
116936243,2022-05-07,research,44.7220846026,-93.3446491223,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Savage, MN, USA",annabatt,3,https://www.inaturalist.org/observations/116936243
116936244,2022-05-07,research,44.7239631,-93.3481884,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"15501 Murphy Lake Blvd, Savage, MN 55378, USA",annabatt,2,https://www.inaturalist.org/observations/116936244
116936245,2022-05-07,research,44.7239631,-93.3481884,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"15501 Murphy Lake Blvd, Savage, MN 55378, USA",annabatt,3,https://www.inaturalist.org/observations/116936245
116936246,2022-05-11,research,44.8879819873,-93.2604116358,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Richfield, MN, USA",annabatt,2,https://www.inaturalist.org/observations/116936246
116974805,2022-05-10,research,47.1054695,-95.1713716667,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Wilderness Bay Rd, Park Rapids, MN, US",veralind15,3,https://www.inaturalist.org/observations/116974805
117001836,2022-05-14,research,45.1622824515,-93.0962061031,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Lino Lakes, MN, US",andromeda52,3,https://www.inaturalist.org/observations/117001836
117004712,2022-05-13,research,45.1909380252,-93.6414111316,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Rogers, MN, US",lanetheadventurer,3,https://www.inaturalist.org/observations/117004712
117007592,2022-05-14,research,44.831979,-93.244726,29306,Nerodia sipedon sipedon,Northern Watersnake,Reptilia,subspecies,"East Bloomington, Bloomington, MN, USA",frozeninmn,4,https://www.inaturalist.org/observations/117007592
117015151,2022-05-12,research,44.6703065585,-93.3126374955,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Ritter Farm Park, Lakeville, MN, US",stolive,1,https://www.inaturalist.org/observations/117015151
117019832,2022-05-14,research,45.2530387847,-93.1105387087,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Columbus, MN, USA",safechrislaurie,2,https://www.inaturalist.org/observations/117019832
117030904,2022-05-14,research,45.3285972024,-93.0693937392,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",savvy2birding,6,https://www.inaturalist.org/observations/117030904
117041105,2022-05-14,research,44.224545,-93.5232,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Sakatah Lake State Park, Morristown, MN, US",lagoonwitch,1,https://www.inaturalist.org/observations/117041105
117054779,2022-05-14,research,46.2444833333,-92.59497,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"CR-148, Bruno, MN, US",winterfamily,4,https://www.inaturalist.org/observations/117054779
117058696,2022-05-14,research,45.1828863658,-93.8976435115,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Buffalo, MN 55313, USA",manticore,2,https://www.inaturalist.org/observations/117058696
117060007,2022-05-09,research,44.853338742,-92.7751035017,28557,Storeria occipitomaculata,Red-bellied Snake,Reptilia,species,"Afton State Park, Hastings, MN, US",stolive,3,https://www.inaturalist.org/observations/117060007
117130154,2022-05-15,research,45.0508743,-93.42281627,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"53rd Ave N & Arrowood Lane, Plymouth, MN 55442, USA",theotherkevinsmith,3,https://www.inaturalist.org/observations/117130154
117130632,2022-05-15,research,45.5165664146,-93.6586279389,29927,Heterodon nasicus,Plains Hognose Snake,Reptilia,species,"Minnesota, US",shane348,4,https://www.inaturalist.org/observations/117130632
117156412,2022-05-15,research,45.2928108536,-92.9791587106,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, US",janastasi,1,https://www.inaturalist.org/observations/117156412
117159165,2022-05-14,research,46.3467408717,-94.2053587661,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Brainerd, MN 56401, USA",lcplinske,1,https://www.inaturalist.org/observations/117159165
117160118,2022-05-15,research,45.0013191539,-93.0815274665,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, US",carissab,2,https://www.inaturalist.org/observations/117160118
117160674,2022-05-14,research,46.3468539517,-94.2048056939,39556,Apalone spinifera,Spiny Softshell,Reptilia,species,"Brainerd, MN 56401, USA",lcplinske,2,https://www.inaturalist.org/observations/117160674
117160680,2022-05-14,research,46.3464414421,-94.2050859672,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Brainerd, MN 56401, USA",lcplinske,2,https://www.inaturalist.org/observations/117160680
117165316,2022-05-15,research,45.1199415908,-93.2774496872,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Springbrook Nature Center, Fridley, MN, US",matthew1643,2,https://www.inaturalist.org/observations/117165316
117165666,2022-05-15,research,45.1196408445,-93.2768705271,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Springbrook Nature Center, Fridley, MN, US",matthew1643,2,https://www.inaturalist.org/observations/117165666
